,Rk,Player,debut,Age,Yrs,Games,Minutes Played,Field Goals,FGA,3-Point Field Goals,3-Point Field Goal Attempts,Free Throws,Free Throw Attempts,Offensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Field Goal Percentage,3-Point Field Goal Percentage,Free Throw Percentage,Minutes Played Per Game,Points Per Game,Total Rebounds Per Game,Assists Per Game,Steals Per Game,Blocks Per Game
0,1,Alex Antetokounmpo,"Mar 31, '26, MIL vs. DAL",24,1,6,21,3,8,2,7,11,15,2,6,1,0,1,1,1,19,.375,.286,.733,3.5,3.2,1.0,0.2,0.0,0.2
1,2,Ace Bailey,"Oct 22, '25, UTA vs. LAC",19,1,72,1988,395,892,137,398,66,88,104,302,131,60,49,107,193,993,.443,.344,.750,27.6,13.8,4.2,1.8,0.8,0.7
2,3,Adama-Alpha Bal,"Mar 28, '26, MEM vs. CHI",22,1,8,241,28,68,18,44,9,10,6,25,19,9,1,6,27,83,.412,.409,.900,30.1,10.4,3.1,2.4,1.1,0.1
3,4,Brooks Barnhizer,"Oct 21, '25, OKC vs. HOU",23,1,40,348,27,71,7,24,7,10,19,78,22,11,5,10,27,68,.380,.292,.700,8.7,1.7,2.0,0.6,0.3,0.1
4,5,Joan Beringer,"Oct 24, '25, MIN @ LAL",19,1,40,314,65,98,0,0,26,37,45,92,12,7,26,11,47,156,.663,,.703,7.9,3.9,2.3,0.3,0.2,0.7
5,6,Koby Brea,"Nov 2, '25, PHO vs. SAS",23,1,12,84,15,36,13,30,2,2,1,8,10,1,0,4,6,45,.417,.433,1.000,7.0,3.8,0.7,0.8,0.1,0.0
6,7,Johni Broome,"Nov 2, '25, PHI @ BRK",23,1,11,55,4,24,0,5,2,6,7,16,4,3,2,3,7,10,.167,.000,.333,5.0,0.9,1.5,0.4,0.3,0.2
7,8,Darius Brown II,"Feb 24, '26, CLE vs. NYK",26,1,1,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,.000,,,3.0,0.0,1.0,0.0,0.0,0.0
8,9,Carter Bryant,"Oct 22, '25, SAS @ DAL",20,1,71,818,108,265,52,155,30,42,38,178,47,16,23,33,94,298,.408,.335,.714,11.5,4.2,2.5,0.7,0.2,0.3
9,10,Tyler Burton,"Mar 12, '26, MEM vs. DAL",25,1,12,307,42,112,22,66,23,27,8,50,12,11,4,11,31,129,.375,.333,.852,25.6,10.8,4.2,1.0,0.9,0.3
