,Player,Images
0,Trey Alexander,https://cdn.nba.com/headshots/nba/latest/1040x760/1641725.png
1,Marcus Bagley,https://cdn.nba.com/headshots/nba/latest/1040x760/1630542.png
2,Jamison Battle,https://cdn.nba.com/headshots/nba/latest/1040x760/1642419.png
3,Damion Baugh,https://cdn.nba.com/headshots/nba/latest/1040x760/1641878.png
4,Reece Beekman,https://cdn.nba.com/headshots/nba/latest/1040x760/1641736.png
5,Adem Bona,https://cdn.nba.com/headshots/nba/latest/1040x760/1641737.png
6,Jalen Bridges,https://cdn.nba.com/headshots/nba/latest/1040x760/1641779.png
7,Keion Brooks Jr.,https://cdn.nba.com/headshots/nba/latest/1040x760/1631232.png
8,Matas Buzelis,https://cdn.nba.com/headshots/nba/latest/1040x760/1641824.png
9,Branden Carlson,https://cdn.nba.com/headshots/nba/latest/1040x760/1642382.png
10,Bub Carrington,https://cdn.nba.com/headshots/nba/latest/1040x760/1642267.png
11,Devin Carter,https://cdn.nba.com/headshots/nba/latest/1040x760/1642269.png
12,Stephon Castle,https://cdn.nba.com/headshots/nba/latest/1040x760/1642264.png
13,Ulrich Chomche,https://cdn.nba.com/headshots/nba/latest/1040x760/1642279.png
14,Cam Christie,https://cdn.nba.com/headshots/nba/latest/1040x760/1642353.png
15,Jaylen Clark,https://cdn.nba.com/headshots/nba/latest/1040x760/1641740.png
16,Donovan Clingan,https://cdn.nba.com/headshots/nba/latest/1040x760/1642270.png
17,Isaiah Collier,https://cdn.nba.com/headshots/nba/latest/1040x760/1642268.png
18,Yuri Collins,https://cdn.nba.com/headshots/nba/latest/1040x760/1641879.png
19,Isaiah Crawford,https://cdn.nba.com/headshots/nba/latest/1040x760/1642384.png
20,Totals,
21,Player,
22,Cui Yongxi,
23,Tristan Da Silva,https://cdn.nba.com/headshots/nba/latest/1040x760/1641783.png
24,Pacôme Dadiet,https://cdn.nba.com/headshots/nba/latest/1040x760/1642359.png
25,N'Faly Dante,https://cdn.nba.com/headshots/nba/latest/1040x760/1642368.png
26,RayJ Dennis,https://cdn.nba.com/headshots/nba/latest/1040x760/1642484.png
27,Rob Dillingham,https://cdn.nba.com/headshots/nba/latest/1040x760/1642265.png
28,Alex Ducas,https://cdn.nba.com/headshots/nba/latest/1040x760/1642505.png
29,Ryan Dunn,https://cdn.nba.com/headshots/nba/latest/1040x760/1642346.png
